STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,,INDICATOR,,MEASURE,,INEQUALITY,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHL,,HO_BASE,,L,,TOT,,9.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,EST,,HO_BASE,,L,,TOT,,5.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LVA,,HO_BASE,,L,,TOT,,11.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,RUS,,HO_BASE,,L,,TOT,,13.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVN,,HO_BASE,,L,,TOT,,0.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ZAF,,HO_BASE,,L,,TOT,,35.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,OECD,,HO_BASE,,L,,TOT,,3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUS,,HO_HISH,,L,,TOT,,19.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUT,,HO_HISH,,L,,TOT,,20.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BEL,,HO_HISH,,L,,TOT,,20,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CAN,,HO_HISH,,L,,TOT,,22.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CZE,,HO_HISH,,L,,TOT,,23.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DNK,,HO_HISH,,L,,TOT,,23.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FIN,,HO_HISH,,L,,TOT,,23.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FRA,,HO_HISH,,L,,TOT,,20.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DEU,,HO_HISH,,L,,TOT,,20,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GRC,,HO_HISH,,L,,TOT,,21.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,HUN,,HO_HISH,,L,,TOT,,19.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,IRL,,HO_HISH,,L,,TOT,,20.6,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ITA,,HO_HISH,,L,,TOT,,22.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,HO_HISH,,L,,TOT,,21.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,HO_HISH,,L,,TOT,,14.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,HO_HISH,,L,,TOT,,20.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,MEX,,HO_HISH,,L,,TOT,,17.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NLD,,HO_HISH,,L,,TOT,,19.6,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NZL,,HO_HISH,,L,,TOT,,25,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NOR,,HO_HISH,,L,,TOT,,17.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,POL,,HO_HISH,,L,,TOT,,21.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,PRT,,HO_HISH,,L,,TOT,,19.6,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVK,,HO_HISH,,L,,TOT,,27.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ESP,,HO_HISH,,L,,TOT,,21.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SWE,,HO_HISH,,L,,TOT,,20.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHE,,HO_HISH,,L,,TOT,,21.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,TUR,,HO_HISH,,L,,TOT,,18.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GBR,,HO_HISH,,L,,TOT,,23.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,USA,,HO_HISH,,L,,TOT,,18.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHL,,HO_HISH,,L,,TOT,,18.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,EST,,HO_HISH,,L,,TOT,,17,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LVA,,HO_HISH,,L,,TOT,,20.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,RUS,,HO_HISH,,L,,TOT,,17.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVN,,HO_HISH,,L,,TOT,,18.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ZAF,,HO_HISH,,L,,TOT,,18.1,,A,,PC,,0,,,
